 "course_uri" , "event_uri" , "content_uri" ,
 "http://example.org/5484" ,  , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Slides/slides04.pdf" ,
 "http://example.org/5484" ,  , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Lectures/Worksheets/worksheet03.pdf" ,
 "http://example.org/5484" ,  , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "http://example.org/5484" ,  , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%205/Lectures/Worksheets/worksheet04.pdf" ,
 "http://example.org/5484" ,  , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%205/Lectures/Slides/slides05.pdf" ,
 "http://example.org/5484" ,  , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%202/Lectures/Slides/slides02.pdf" ,
 "http://example.org/5484" ,  , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%202/Lectures/Worksheets/worksheet01.pdf" ,
 "http://example.org/5484" , "http://example.org/5484_Lab_3" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%204/Labs/Instructions/comp-474-2204-uu_%20lab%20session%20%233.pdf" ,
 "http://example.org/5484" , "http://example.org/5484_Lab_5" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%206/Labs/Instructions/comp-474-2204-uu_%20lab%20session%20%235.pdf" ,
 "http://example.org/5484" , "http://example.org/5484_Lab_4" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%205/Labs/Instructions/comp-474-2204-uu_%20lab%20session%20%234.pdf" ,
